"Path","ItemType","Category","Target","Reason","TrackedAtFrozenTag","Bytes","SHA256","LastWriteTimeUtc"
"BUILD/analogout_api.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1203932","A8D38DE1968EBBD9F6DAC17541793276460A6985D08ED32C7F1CCB02894DE5B7","2026-07-13T09:27:20.7197497Z"
"BUILD/analogout_device.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1095519","228788147A8C992992EBFC1698C93737EF555F59E31C37E8C3614BECD7CC6681","2026-07-13T09:27:20.0364461Z"
"BUILD/analogout_device.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","8959","179741D25D562B8EDC3734CEE76B2D0B6836F52E41FC42B4B6B202D44D3C3F3A","2026-07-13T09:27:20.0384476Z"
"BUILD/analogout_device.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1198944","0960826A005DE498373EFA83EE7FEFD614544DCFC11BAA7C4EF9889F675F92FB","2026-07-13T09:27:20.7237531Z"
"BUILD/atcmdparser.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1305497","B3415F3AE11B0D2321822C5785037EE5CA3588132668A7DC563BF21FB4CBB29D","2026-07-13T09:27:20.4755482Z"
"BUILD/atcmdparser.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","12544","45DD5C9C145336F8F0C8D6486728EA6712485CD78843CE17EF7B58C7CE43BB8C","2026-07-13T09:27:20.4815484Z"
"BUILD/atcmdparser.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1419624","E3403DF5A629919A88B32143B00DA193E3B43AEE59A463A7BF740F91D794F77A","2026-07-13T09:27:20.9299447Z"
"BUILD/busin.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1118047","8EC3480E8FF9EBE9B4AAED72BD377B39BAC079022A7AF966BD47A4AF6D967D4B","2026-07-13T09:27:20.0154431Z"
"BUILD/busin.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","8140","D0E3D3F58D853007FFD1B72372CDBEA6CCD9F23C0B5F140ED911F46C519193B7","2026-07-13T09:27:20.0194474Z"
"BUILD/busin.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1251756","55DBCE22C12C7DF8F630DA1EEC64DEA920FF7D7805F8F2FCD6DFB51F9600C15B","2026-07-13T09:27:20.7317464Z"
"BUILD/businout.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1119162","6196DE5ABBF4F3008F29EC96A79B5B1A23324EF48B9A1E40E726ADB04DE9E59B","2026-07-13T09:27:20.0534461Z"
"BUILD/businout.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","8443","803CC7357615919D8B3128CE4086B002F84C0AFDC47D6F72415D39FACEEDD535","2026-07-13T09:27:20.0564452Z"
"BUILD/businout.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1264184","0DFF8AA7700E2F89CFBE3306BAAC8FE3F856C83367F33378616F96B715DEC378","2026-07-13T09:27:20.7617477Z"
"BUILD/busout.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1118494","8572FA3D2B63A4FA48257B356BA63D0E244B220F6905945E867C4F34D2B16CB3","2026-07-13T09:27:20.1507738Z"
"BUILD/busout.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","8241","E0A8FE7EDFD02DF723C2C9F5F34BDEFFDF78AA81304F494BD944491718467E0A","2026-07-13T09:27:20.1557743Z"
"BUILD/busout.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1254972","6BEACDAC77964941E965E5BB9F47A4790B8356C048078B6FFC00BE5B8A753461","2026-07-13T09:27:20.7257516Z"
"BUILD/calibration.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1337841","47F5F9C8D6014E344D077E2A5AC13EE2DDD35332723458BF95D324114EB44B6D","2026-08-10T13:09:19.8565669Z"
"BUILD/calibration.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","13265","4DCE6F9D829E35C26E8A50EFCEEBFD39C86CCA17240673C7BFDF9E8B9DF8AF4A","2026-08-10T13:09:19.8605662Z"
"BUILD/calibration.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1425024","E1FF9D336133BAF0C47C2F94C48897676824E82992D451A3529CD937A7E639C4","2026-08-10T13:09:20.0028175Z"
"BUILD/callchain.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1160670","492CDDF28E35B5EA270249992200EDABEEEA9EE9E17BE29188EB87730531B5B8","2026-07-13T09:27:19.9834436Z"
"BUILD/callchain.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","7652","DD9C580D5E05716651EBC365ABFC523538479CDA957DD5863103DFD73620CBBD","2026-07-13T09:27:19.9884485Z"
"BUILD/callchain.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1216636","C227BE86A843DB59494CE63807963378743BE876850899635A479AA2A61118D5","2026-07-13T09:27:20.7307474Z"
"BUILD/can_api.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1120715","503772695D5068095A5691A80605A875B834DAF1B445E69B774E7C735868AADE","2026-07-13T09:27:20.1857750Z"
"BUILD/can_api.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","8214","A32FE42CD71D03CD770E93C46E18423F2CFC4990CE8E1343790BFE92E72BAB87","2026-07-13T09:27:20.1891640Z"
"BUILD/can_api.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1246788","8141E91EB33A9797ADAE8D7980A9010AAB6695A17F5C81614C84E4B8CFC67D3E","2026-07-13T09:27:20.7257516Z"
"BUILD/can_com.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1309374","8F3C4DF5DB8B90AE2E4A0646D688A33AF900133051A09A50F4C97C18C4079AD3","2026-07-15T09:12:26.6882025Z"
"BUILD/can_com.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","12018","5EEE274AFA4E5A855EED1B2F751F89EF9DDFF1DB533A3944556BD6CC2106AB40","2026-07-15T09:12:26.6962025Z"
"BUILD/can_com.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1386048","9F5CFAFE40FC172BA17FDB5DF0001E56D0F2EC9F34B1BDF067D7A1071F1FF716","2026-07-15T09:12:28.4714401Z"
"BUILD/can.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1192134","AC7B3389C51D270C426B7EC5F75E0BB4E54FD4CB1D49C23E827420A0A295DCCC","2026-07-13T09:27:20.2586835Z"
"BUILD/can.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","8019","C57DB7EC766A464CAF27DBE82FFECB8D7B1FD9ABB99EDFB697B651107EB981ED","2026-07-13T09:27:20.2626836Z"
"BUILD/can.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1288252","3E23F239CC4702599F2A086434FB55A62239D4443E9165CA29A696FD438AB797","2026-07-13T09:27:20.7177475Z"
"BUILD/drv.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1311195","648C96F2BC6DCA99E7AAC7B0EA5765931918AA6CE61E8D1B515FD934EDCEFAF2","2026-07-13T09:27:20.5813048Z"
"BUILD/drv.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","11180","06AF8FE5A77270D83C9A3B2F59D021384C247E8EA83734369008E7AAEC6213AB","2026-07-13T09:27:20.5873069Z"
"BUILD/drv.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1405368","4D5A9CC23866E9825640AAFEE6FD4B82BDD3A7A197C892AF51B1D6586EA080C0","2026-07-13T09:27:20.7287472Z"
"BUILD/ethernet.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1110887","1C483844CF83172921F31E3C10E2B8BD9DC6B71422F388C55D941023E122A2C8","2026-07-13T09:27:20.0644459Z"
"BUILD/ethernet.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","8235","8BB93EB7C2F8F92D4488A618386F0E857F7C0EC0C585A32B266DCE174715431B","2026-07-13T09:27:20.0684497Z"
"BUILD/ethernet.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1211064","4214968A6F5EC5E1FBB13418B6030FA1C28FFE75DAEA15A9A9F3E8BFAC328271","2026-07-13T09:27:20.7517476Z"
"BUILD/fastmath.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","936","9D20EF6E81379D0C682BE74717FC470BB47C105B5C707B448314BE86AAF1CA97","2026-07-13T09:27:16.0518497Z"
"BUILD/fastmath.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","155","89C0DAF90183CDB0713E36C3F07F50DD0DF059D2B7185A39A75CD8B01687BC0E","2026-07-13T09:27:16.0518497Z"
"BUILD/fastmath.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","19272","0E2C05B829C7E8BBCAED2003F3304B91BCF0A8D0658B2434F16DC3348D427733","2026-07-13T09:27:16.0538500Z"
"BUILD/fastpwm_common.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1304975","03FC70160F1E4C7315AD9E7E2CA3EFB8B3D7D63673327E946F2A18870D092E81","2026-07-13T09:27:20.6023044Z"
"BUILD/fastpwm_common.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","13076","E8863F169EF5B515985939875886F7E87E3509937C0F08C47A53AD0367D0CB0F","2026-07-13T09:27:20.6073055Z"
"BUILD/fastpwm_common.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1406780","36D22F4A67AE6D8805E7868F68CA6171E0B1817E6AF34C1BC4691F972A0FBF7E","2026-07-13T09:27:20.8619461Z"
"BUILD/fastpwm_klxx_k20d50m.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","479","53192725114D4AB47FC69DAA0E4E0D10C052B1D164266C4E3B55A367CD1498D9","2026-07-13T09:27:16.0428503Z"
"BUILD/fastpwm_klxx_k20d50m.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","120","8F3397E88BD1BA61BAA443E6C99563F2F6BC46B3D39563B20BF06AA345B05DC3","2026-07-13T09:27:16.0428503Z"
"BUILD/fastpwm_klxx_k20d50m.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","12052","EF6CAB73A5B88F95349AE6A6970E7170203078547DB25C52A2ECCA629EBD7B7A","2026-07-13T09:27:16.0438499Z"
"BUILD/fastpwm_ksdk.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","479","53192725114D4AB47FC69DAA0E4E0D10C052B1D164266C4E3B55A367CD1498D9","2026-07-13T09:27:16.2155060Z"
"BUILD/fastpwm_ksdk.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","96","F6C98FAD20FA3EDAE84C82E3934D79A8D0EFE9858608A0F169BC7CA1D94AAD61","2026-07-13T09:27:16.2155060Z"
"BUILD/fastpwm_ksdk.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","11940","ABAD6D436B748BC34B5BCAB7CAE880C728A2078BD0E042C0DC3C8671A319AF4B","2026-07-13T09:27:16.2165053Z"
"BUILD/fastpwm_lpc11xx.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","479","53192725114D4AB47FC69DAA0E4E0D10C052B1D164266C4E3B55A367CD1498D9","2026-07-13T09:27:16.2389726Z"
"BUILD/fastpwm_lpc11xx.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","105","27EDA108D47F7EC748E2999B597C86925471F64D3192D7404701D1DD39C71F3B","2026-07-13T09:27:16.2389726Z"
"BUILD/fastpwm_lpc11xx.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","11984","67B4E4F55498951F41422FA386B9B7CC7547300784E07AAAE878E1AD7062CE3A","2026-07-13T09:27:16.2409809Z"
"BUILD/fastpwm_lpc1768.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","564","02DFA61711C9E5041A2F502C2512F56D216ED1103B129DDBED925906B2887AF4","2026-07-13T09:27:15.9606420Z"
"BUILD/fastpwm_lpc1768.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","105","2FFB3FF55FCF82B84325AEB84AC3A9E59AB4F5758C20A6779D95E68ABF93A320","2026-07-13T09:27:15.9606420Z"
"BUILD/fastpwm_lpc1768.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","11984","F72C3BFA0F45E755E0E911675E4F6E260BC9A38B72073AD9BC7E173673F2126C","2026-07-13T09:27:15.9616418Z"
"BUILD/fastpwm_stm_tim_pinout.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1302503","6AA6624688A8C68B1C1D4CDEB3DA73E8A6EFEBA8396F8CBB36A8C151E4EB4604","2026-07-13T09:27:20.6063043Z"
"BUILD/fastpwm_stm_tim_pinout.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","14406","D70734D1E1002C30C599BF2C6F9A1C50ADDA9392EE774A0D152308F82CC8EADB","2026-07-13T09:27:20.6113049Z"
"BUILD/fastpwm_stm_tim_pinout.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1376768","095D4C728A2B54675A0E345DEFD335C3F855C26DF0BC882A321299ACA3D8859E","2026-07-13T09:27:20.7317464Z"
"BUILD/fastpwm_stm_tim.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1304453","79AE64BCB4540883FBF9CEE54535F613E1961D42CE24DC1B0C939FA513B8ACB2","2026-07-13T09:27:20.5055499Z"
"BUILD/fastpwm_stm_tim.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","13255","76643332FF3777B5D2E82412954A889AF9900F0C7E1434C55E44B5415A45F517","2026-07-13T09:27:20.5125530Z"
"BUILD/fastpwm_stm_tim.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1383768","9949FCCE1110DD93AA4C94948AD23573A3EBC16417C4A547E3CE53A39DAEB032","2026-07-13T09:27:20.9149449Z"
"BUILD/filebase.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1188901","D60A16992ACB34E659FFAA431FEFA0D08CCFDBD7B807114F6DA31B898CF3A3BB","2026-07-13T09:27:24.8296943Z"
"BUILD/filebase.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","8549","BE4D3E020F4DD8580C8D715696E4FA24DFCC5FBC9F7E45E51185D75937FF25B1","2026-07-13T09:27:24.8316946Z"
"BUILD/filebase.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1255848","B3E02C7BBBAC8F3702427379B691ED1E9D5357A0C78A237C81587FEBECBE348E","2026-07-13T09:27:24.9587174Z"
"BUILD/filehandle.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1187345","B5AB3F2DAF426427D3934846E685B0B06A0BD0E226C5026BC1F4EA37472AC716","2026-07-13T09:27:24.7642254Z"
"BUILD/filehandle.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","8591","EF7BEF5EF07F5DEA2BDFB555D4075218C502DAC574694D86D77D67517B66EE37","2026-07-13T09:27:24.7672283Z"
"BUILD/filehandle.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1249324","348D7466ACE0D57B0D22EA11BC66787C460F2EB2F2A99FDD80AD83D1A0769B82","2026-07-13T09:27:24.8873670Z"
"BUILD/filepath.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1191813","2493403DE5973D6AD5CFE36887AE8FB1C9C21B60D8F64144E4C84F16C848B921","2026-07-13T09:27:24.8963628Z"
"BUILD/filepath.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","8764","5C3CADDCF856F1D155F6B8CA536C1B9851A32A6B2696E0F4942BB7C0143AC99E","2026-07-13T09:27:24.8983665Z"
"BUILD/filepath.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1249936","454DF8953B90BC766B56C00EED73F381B5AB028AB5E80073D59E01F4CC08799E","2026-07-13T09:27:25.0119304Z"
"BUILD/filesystemhandle.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1302735","91CCA14FAB1DC6E5A5B436D8CE23F942B9E7ACF6AF4E56387D765C0A1FC17D6D","2026-07-13T09:27:25.0189320Z"
"BUILD/filesystemhandle.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","13383","639A5417748C6BE1763145FE6E8398BAD0E1D62A74DD11469771A8DD1B80A542","2026-07-13T09:27:25.0239316Z"
"BUILD/filesystemhandle.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1389456","32999D15B3957F4FBFECB1B718177479EA0EECB0899EBA589703E82691E32F54","2026-07-13T09:27:25.1525156Z"
"BUILD/flash_api.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1097974","2E8B7D36334675FD3F242C4BB4C547A0BF8C7D4F9BCC0505FFA13335D2B0F91F","2026-07-13T09:27:24.6399739Z"
"BUILD/flash_api.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","8293","FAD56D82BF328BCA9BFFD0C080AEB3BF5604100FFD14B2511EC92B4C4E55AD7E","2026-07-13T09:27:24.6426177Z"
"BUILD/flash_api.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1214092","DA7C52D169CF6C97BED60FB9DD2E6716B7DBFF13AFCEB24D591FA0C513F124BA","2026-07-13T09:27:24.8893633Z"
"BUILD/flashiap.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1102280","37123757321BA0824A0BAEB05168C2C26A83E709CC457298FE91453D1A9674B2","2026-07-13T09:27:24.6896312Z"
